"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","five_puzzles","1","1","0","Hexagonal Tiling Puzzle: Navigating Infinite Patterns"
"mistral-7b-v0.3","five_puzzles","1","2","0","Exploring Tilings: Can We Rotate Our Way Through?"
"mistral-7b-v0.3","five_puzzles","1","3","0","Exploring Rhombus Tilings: Can We Rotate Our Way Out?"
"mistral-7b-v0.3","five_puzzles","1","4","0","Exploring Rhombus Tilings and Hexagonal Rotations"
"mistral-7b-v0.3","five_puzzles","1","5","0","Exploring Rhombus Tilings and Hexagonal Rotations"
"mistral-7b-v0.3","five_puzzles","1","6","0","Exploring Rhombus Tilings: Can We Rotate Our Way Out?"
"mistral-7b-v0.3","five_puzzles","1","7","0","Hexagonal Tilings: Navigating Geometric Patterns"
"mistral-7b-v0.3","five_puzzles","1","8","0","Exploring Rhombus Tilings and Hexagonal Rotations"
"mistral-7b-v0.3","five_puzzles","1","9","0","Exploring Tilings: Can We Rotate Our Way to Any Pattern?"
"mistral-7b-v0.3","five_puzzles","1","10","0","Exploring Rhombus Tilings and Hexagonal Transformations"
"mistral-7b-v0.3","five_puzzles","2","1","114","Hexagonal Tiling Puzzle & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","2","114","Exploring Hexagonal Tilings & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","3","114","Exploring Hexagonal Tilings & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","4","114","Hexagonal Tiling Puzzles: Exploring Rhombus Patterns & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","5","114","Exploring Hexagonal Tilings and Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","6","114","Exploring Hexagonal Tilings & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","7","114","Exploring Hexagonal Tilings & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","8","114","Exploring Hexagonal Tilings & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","9","114","Exploring Hexagonal Tilings and Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","2","10","114","Hexagonal Tile Transformations & Minimum Circle Coverage"
"mistral-7b-v0.3","five_puzzles","3","1","290","From Rhombus Tilings to Cubes: A 3D Perspective on a 2D Puzzle"
"mistral-7b-v0.3","five_puzzles","3","2","290","From Rhombus Tilings to Cubes: A Three-Dimensional Perspective"
"mistral-7b-v0.3","five_puzzles","3","3","290","From Rhombus Tilings to Cubes: A 3D Perspective on a 2D Puzzle"
"mistral-7b-v0.3","five_puzzles","3","4","290","From Rhombus Tilings to Cube Stacks: A Three-Dimensional Perspective"
"mistral-7b-v0.3","five_puzzles","3","5","290","From Rhombus Tilings to Cubes: A Three-Dimensional Perspective"
"mistral-7b-v0.3","five_puzzles","3","6","290","From Rhombus Tilings to Cube Stacks: A Three-Dimensional Perspective"
