"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","breakfast_importance","1","1","0","Breakfast: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","2","0","Breakfast: Fuel Up or Fast?"
"mistral-7b-v0.3","breakfast_importance","1","3","0","Breakfast: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","4","0","Breakfast Debate: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","5","0","Breakfast: Fuel Up or Fast?"
"mistral-7b-v0.3","breakfast_importance","1","6","0","Breakfast: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","7","0","Breakfast Debate: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","8","0","Breakfast: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","9","0","Breakfast: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","1","10","0","Breakfast: To Eat or Not?"
"mistral-7b-v0.3","breakfast_importance","2","1","9","Fasting for Better Health: The Role of Breakfast"
"mistral-7b-v0.3","breakfast_importance","2","2","9","Breakfast Myths Debunked: The Role of Fasting in Health"
"mistral-7b-v0.3","breakfast_importance","2","3","9","Breakfast Myths Debunked: Fasting and Health"
"mistral-7b-v0.3","breakfast_importance","2","4","9","Breakfast Myths Debunked: Fasting and Health"
"mistral-7b-v0.3","breakfast_importance","2","5","9","Breakfast Myths Debunked: The Role of Fasting"
"mistral-7b-v0.3","breakfast_importance","2","6","9","The Science Behind Fasting: Breakfast Myths Debunked"
"mistral-7b-v0.3","breakfast_importance","2","7","9","Breakfast Myths Unraveled: Fasting for Better Health"
"mistral-7b-v0.3","breakfast_importance","2","8","9","Breakfast Myths Debunked: The Role of Fasting"
"mistral-7b-v0.3","breakfast_importance","2","9","9","Breakfast Myths Debunked: The Role of Fasting in Health"
"mistral-7b-v0.3","breakfast_importance","2","10","9","The Power of Fasting: Breakfast Myths Debunked"
"mistral-7b-v0.3","breakfast_importance","3","1","157","The Benefits of Early Breakfast: A Closer Look at Circadian"
"mistral-7b-v0.3","breakfast_importance","3","2","157","Eating Early: The Secret to Better Blood Sugar Control"
"mistral-7b-v0.3","breakfast_importance","3","3","157","Eating Early: A Key to Better Blood Sugar Control and Metabolism"
