"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","quantum_computing_map","1","1","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","2","0","Mapping Quantum Computing: A Comprehensive Guide"
"mistral-7b-v0.3","quantum_computing_map","1","3","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","4","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","5","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","6","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","7","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","8","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","1","9","0","Mapping Quantum Computing: A Comprehensive Guide"
"mistral-7b-v0.3","quantum_computing_map","1","10","0","Mapping the Quantum Computing Landscape"
"mistral-7b-v0.3","quantum_computing_map","2","1","44","Quantum Computing: Superposition, Entanglement, and Interference"
"mistral-7b-v0.3","quantum_computing_map","2","2","44","Quantum Computing: Superposition, Entanglement, & Interference"
"mistral-7b-v0.3","quantum_computing_map","2","3","44","Quantum Computing Fundamentals: Superposition, Entanglement, and Interference"
"mistral-7b-v0.3","quantum_computing_map","2","4","44","Quantum Computing Basics: Superposition, Entanglement, and Interference"
"mistral-7b-v0.3","quantum_computing_map","2","5","44","Quantum Computing Basics: Superposition, Entanglement, and Interference"
"mistral-7b-v0.3","quantum_computing_map","2","6","44","Quantum Computing Basics: Superposition, Entanglement, and Interference"
"mistral-7b-v0.3","quantum_computing_map","2","7","44","Quantum Computing Fundamentals: Superposition, Entanglement, & Interference"
"mistral-7b-v0.3","quantum_computing_map","2","8","44","Quantum Computing Fundamentals: Superposition, Entanglement, and Interference"
"mistral-7b-v0.3","quantum_computing_map","2","9","44","Quantum Computing Fundamentals: Superposition, Entanglement, and Interference"
