"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","most_people_killed","1","1","0","The Tragic Legacy of Dr. Patterson's Earth-Aging Invention"
"mistral-7b-v0.3","most_people_killed","1","2","0","The Tragic Legacy of Dr. Patterson's Earth-Aging Invention"
"mistral-7b-v0.3","most_people_killed","1","3","0","The Tragic Legacy of Dr. Patterson's Earth-Aging Discoveries"
"mistral-7b-v0.3","most_people_killed","1","4","0","The Tragic Legacy of Clair's Clock: A Tale of Three Disasters"
"mistral-7b-v0.3","most_people_killed","1","5","0","The Tragic Legacy of Dr. Pateron's Earth-Aging Discoveries"
"mistral-7b-v0.3","most_people_killed","1","6","0","The Tragic Legacy of Dr. Patterson's Earth-Aging Discoveries"
"mistral-7b-v0.3","most_people_killed","1","7","0","The Tragic Legacy of Dr. Pateron's Earth-Aging Breakthrough"
"mistral-7b-v0.3","most_people_killed","1","8","0","The Tragic Legacy of Dr. Patterson's Earth-Aging Discoveries"
"mistral-7b-v0.3","most_people_killed","1","9","0","The Tragic Legacy of Clair's Chronometer"
"mistral-7b-v0.3","most_people_killed","1","10","0","The Tragic Legacy of Clair's Clock: A Tale of Three Disasters"
"mistral-7b-v0.3","most_people_killed","2","1","112","Patterson Uncovers Mysterious Lead Contamination & the Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","2","112","Patterson Uncovers Lead Mystery Traced Back to Early Car Engines"
"mistral-7b-v0.3","most_people_killed","2","3","112","Patterson Uncovers Mysterious Lead Contamination and the Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","4","112","Patterson Uncovers Mysterious Lead Contamination and the Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","5","112","Patterson Uncovers Mysterious Lead Contamination & the Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","6","112","Patterson Uncovers Mysterious Lead Contamination & The Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","7","112","Patterson Uncovers Mysterious Lead Contamination and the Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","8","112","Patterson Uncovers Mysterious Lead Contamination & The Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","9","112","Patterson Uncovers Mysterious Lead Contamination & the Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","2","10","112","Patterson Uncovers Mysterious Lead Contamination & The Birth of High-Octane Fuel"
"mistral-7b-v0.3","most_people_killed","3","1","427","Midgley's Odorous Quest for an Anti-Knock Agent"
"mistral-7b-v0.3","most_people_killed","3","2","427","Midgley's Odyssey: The Stinky Quest for an Anti-Knock Agent"
"mistral-7b-v0.3","most_people_killed","3","3","427","The Odyssey of Tetrahydrolead: A Smelly Solution to Knocking"
"mistral-7b-v0.3","most_people_killed","3","4","427","Midgley's Odyssey: The Pungent Path to Tetrahydrolead"
"mistral-7b-v0.3","most_people_killed","3","5","427","The Odorous Quest for an Anti-Knock Agent"
"mistral-7b-v0.3","most_people_killed","3","6","427","Midgley's Odorous Quest for an Anti-Knock Agent"
"mistral-7b-v0.3","most_people_killed","3","7","427","Midgley's Odorous Quest for an Anti-Knock Agent"
"mistral-7b-v0.3","most_people_killed","3","8","427","The Stinky Solution: Discovering Tetrahyl Lead"
"mistral-7b-v0.3","most_people_killed","3","9","427","The Birth of Tetrahydrolead: A Smelly Solution to Engine Knocking"
"mistral-7b-v0.3","most_people_killed","3","10","427","The Odyssey of Tetratethyl Lead: A Smelly Solution to Knocking Engines"
"mistral-7b-v0.3","most_people_killed","4","1","511","The Rise and Fall of Tetrahydrolead: A Deadly Additive"
"mistral-7b-v0.3","most_people_killed","4","2","511","The Rise and Fall of Tetrahydrolead: A Poisonous Success Story"
"mistral-7b-v0.3","most_people_killed","4","3","511","The Rise and Fall of Tetrahydrolead: A Deadly Additive's Impact"
"mistral-7b-v0.3","most_people_killed","4","4","511","The Rise and Fall of Tetrahydrolead: A Toxic Triumph"
"mistral-7b-v0.3","most_people_killed","4","5","511","The Rise and Fall of Tetrahydrolead: A Poisonous Success Story"
"mistral-7b-v0.3","most_people_killed","4","6","511","The Rise and Fall of Tetrahydrolead: A Poisonous Pioneer in Fuel Additives"
