"model","video","segment","title_number","start","generated_title"
"tinyllama","stanford_prison","1","1","0","The University Study"
"tinyllama","stanford_prison","1","2","0","The University's Secret Psychological Experiment"
"tinyllama","stanford_prison","1","3","0","The University Psychology Study"
"tinyllama","stanford_prison","1","4","0","The University Psychology Experiment"
"tinyllama","stanford_prison","1","5","0","The University Study: A Psychological Experiment"
"tinyllama","stanford_prison","1","6","0","The University Study"
"tinyllama","stanford_prison","1","7","0","The University Psychological Study"
"tinyllama","stanford_prison","1","8","0","The University Psychology Experiment"
"tinyllama","stanford_prison","1","9","0","The University Study That Changed Everything"
"tinyllama","stanford_prison","1","10","0","The University's Secret Experiment"
"tinyllama","stanford_prison","2","1","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","2","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","3","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","4","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","5","64","Creating a prison scenario"
"tinyllama","stanford_prison","2","6","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","7","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","8","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","9","64","The Stanford prison experiment"
"tinyllama","stanford_prison","2","10","64","The Stanford prison experiment"
"tinyllama","stanford_prison","3","1","291","The Psychology of Prisons"
"tinyllama","stanford_prison","3","2","291","Zimbardo Experiment: A Study of Anti-Social Behavior"
"tinyllama","stanford_prison","3","3","291","The Psychology of Prisons"
"tinyllama","stanford_prison","3","4","291","The Role of Anti-Social Behavior in Military Conflicts"
"tinyllama","stanford_prison","3","5","291","The Psychology of Prisons"
"tinyllama","stanford_prison","3","6","291","Zimbardo Study: Experimenting with Conflict"
"tinyllama","stanford_prison","3","7","291","The Psychology of Prisons"
"tinyllama","stanford_prison","3","8","291","The Study of Anti-Social Behaviour"
"tinyllama","stanford_prison","3","9","291","The Role of Prison Guards in the Study"
"tinyllama","stanford_prison","3","10","291","The Psychology of Prisons"
"tinyllama","stanford_prison","4","1","497","Stanford Prison Experiment"
"tinyllama","stanford_prison","4","2","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","4","3","497","Stanford Prison Experiment"
"tinyllama","stanford_prison","4","4","497","Stanford Prison Experiment"
"tinyllama","stanford_prison","4","5","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","4","6","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","4","7","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","4","8","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","4","9","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","4","10","497","The Stanford Prison Experiment"
"tinyllama","stanford_prison","5","1","669","The Effect of Depersonalization on Prisoners"
"tinyllama","stanford_prison","5","2","669","The Effects of Depersonalization Dress on Prisoners"
"tinyllama","stanford_prison","5","3","669","The Effectiveness of Depersonalization Devices in Prisons"
"tinyllama","stanford_prison","5","4","669","Prisoners' Experience at a Mental Health Facility"
"tinyllama","stanford_prison","5","5","669","The Effects of Depersonalization on Prisoners"
"tinyllama","stanford_prison","5","6","669","The Effect of Depersonalization on Prisoners"
"tinyllama","stanford_prison","5","7","669","The Effects of Depersonalization on Prisoners"
"tinyllama","stanford_prison","5","8","669","Prison Life: A Study of Depersonalization Techniques"
"tinyllama","stanford_prison","5","9","669","How does a prison system impact its staff and inmates?"
"tinyllama","stanford_prison","5","10","669","The Effect of Depersonalization on Prisoners"
"tinyllama","stanford_prison","6","1","763","The Effects of Psychological Methods on Prisoners"
"tinyllama","stanford_prison","6","2","763","The Effectiveness of Psychological Methods in Managing Prisoners"
"tinyllama","stanford_prison","6","3","763","The Effects of Psychological Techniques on Prisoners"
"tinyllama","stanford_prison","6","4","763","The Effectiveness of Psychological Techniques in Managing Prisoner Behavior"
"tinyllama","stanford_prison","6","5","763","The Effects of Psychological Manipulation on Prisoner Behavior"
"tinyllama","stanford_prison","6","6","763","The Effects of Psychological Methods on Prisoner Behavior"
"tinyllama","stanford_prison","6","7","763","The Effects of Psychological Methods on Prisoners"
