"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","Seafood","1","1","0","The Counterfeit Crusade: Unmasking the Global Seafood Fraud"
"mistral-7b-v0.3","Seafood","1","2","0","Counterfeit Crustaceans: The Rampant Fraud in Seafood Industry"
"mistral-7b-v0.3","Seafood","1","3","0","The Counterfeit Crusade: Unmasking the Deception in the Seafood Industry"
"mistral-7b-v0.3","Seafood","1","4","0","The Counterfeit Crusade: Unmasking the World of Fake Fish"
"mistral-7b-v0.3","Seafood","1","5","0","Counterfeit Crustaceans: The Global Seafood Fraud Epidemic"
"mistral-7b-v0.3","Seafood","1","6","0","The Counterfeit Crusade: Unmasking the Global Seafood Fraud Epidemic"
"mistral-7b-v0.3","Seafood","1","7","0","The Counterfeit Crusade: Unmasking the Deception in Seafood Industry"
"mistral-7b-v0.3","Seafood","1","8","0","The Rampant Deception of Counterfeit Seafood"
"mistral-7b-v0.3","Seafood","1","9","0","The Counterfeit Crusade: Unmasking the World of Fake Fish"
"mistral-7b-v0.3","Seafood","1","10","0","The Rampant Deception of Counterfeit Seafood"
"mistral-7b-v0.3","Seafood","2","1","70","The Deception Behind Imitation Crab Meat and Real Blue Crabs"
"mistral-7b-v0.3","Seafood","2","2","70","Unmasking Imitation Crab: The Seafood Deception"
"mistral-7b-v0.3","Seafood","2","3","70","The Deceptive World of Imitation Crab Meat"
"mistral-7b-v0.3","Seafood","2","4","70","Unmasking the Crab Meat Deception: From Imitation to Mislabeled"
"mistral-7b-v0.3","Seafood","2","5","70","The Deception Behind Imitation Crab Meat and Real Blue Crab"
"mistral-7b-v0.3","Seafood","2","6","70","Unmasking Imitation Crab: The Seafood Fraud Epidemic"
"mistral-7b-v0.3","Seafood","2","7","70","Unmasking Imitation Crab: The Seafood Deception"
"mistral-7b-v0.3","Seafood","2","8","70","Unmasking Imitation Crab: The Seafood Fraud Epidemic"
"mistral-7b-v0.3","Seafood","2","9","70","The Deceptive World of Imitation Crab and Seafood Fraud"
"mistral-7b-v0.3","Seafood","2","10","70","The Deception Behind Imitation Crab and Real Blue Crab"
"mistral-7b-v0.3","Seafood","3","1","258","Bluefin Tuna: A Rare & Expensive Delicacy Under Threat"
"mistral-7b-v0.3","Seafood","3","2","258","Bluefin Tuna: Rare, Expensive, and Fraught with Deception"
"mistral-7b-v0.3","Seafood","3","3","258","Bluefin Tuna: Rare, Expensive, and Frequently Mislabeled"
"mistral-7b-v0.3","Seafood","3","4","258","Bluefin Tuna: A Pricey, Elusive Delicacy Under Threat"
"mistral-7b-v0.3","Seafood","3","5","258","Bluefin Tuna: A Million-Dollar Catch, Riddled with Fraud"
"mistral-7b-v0.3","Seafood","3","6","258","Bluefin Tuna: Rare, Expensive, and Frequently Mislabeled"
"mistral-7b-v0.3","Seafood","3","7","258","Bluefin Tuna: A Million-Dollar Catch - Fraud and Overfished Perils"
"mistral-7b-v0.3","Seafood","3","8","258","Bluefin Tuna: Rare, Expensive, and Frequently Mislabeled"
"mistral-7b-v0.3","Seafood","3","9","258","Bluefin Tuna: A Million-Dollar Catch, Fraught with Deception"
"mistral-7b-v0.3","Seafood","3","10","258","Bluefin Tuna: A Pricey, Precious, and Perilous Catch"
"mistral-7b-v0.3","Seafood","4","1","444","Fraudulent Tuna and Counterfeit Scallops: A Culinary Deception"
"mistral-7b-v0.3","Seafood","4","2","444","Fraudulent Tuna and Counterfeit Scallops: A Culinary Conundrum"
"mistral-7b-v0.3","Seafood","4","3","444","Fraudulent Tuna & Counterfeit Scallops: A Culinary Deception"
"mistral-7b-v0.3","Seafood","4","4","444","Fraudulent Fish Finds: A Closer Look at Tuna, Scallops, and Salmon"
"mistral-7b-v0.3","Seafood","4","5","444","Fraudulent Fish: A Look at Tuna, Scallops, and Salmon Mislabeling"
"mistral-7b-v0.3","Seafood","4","6","444","Fraudulent Tuna & Counterfeit Scallops: Red Flags to Watch For"
"mistral-7b-v0.3","Seafood","4","7","444","Fraudulent Tuna & Counterfeit Scallops: A Culinary Conundrum"
