"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","Traffic_Jam","1","1","0","Modeling Unexplained Traffic Jams: Two Surprising Insights"
"mistral-7b-v0.3","Traffic_Jam","1","2","0","Mathematical Modeling of Unexplained Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","1","3","0","Modeling Unexplained Traffic Jams: Two Surprising Findings"
"mistral-7b-v0.3","Traffic_Jam","1","4","0","Mathematical Modeling of Unexplained Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","1","5","0","Mathematical Mysteries of Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","1","6","0","Mathematical Modeling of Unexplained Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","1","7","0","Modeling Unforeseen Traffic Congestion"
"mistral-7b-v0.3","Traffic_Jam","1","8","0","Mathematical Mysteries of Unexplained Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","1","9","0","Mathematical Mysteries of Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","1","10","0","Mathematical Mysteries of Unexplained Traffic Jams"
"mistral-7b-v0.3","Traffic_Jam","2","1","12","Phantom Jams and Surprising Solutions on Ring Roads"
"mistral-7b-v0.3","Traffic_Jam","2","2","12","Phantom Jams and Surprising Solutions: A Mathematical Traffic Study"
"mistral-7b-v0.3","Traffic_Jam","2","3","12","Phantom Jams and Surprising Solutions: Traffic Dynamics Unveiled"
"mistral-7b-v0.3","Traffic_Jam","2","4","12","Phantom Jams and Unexpected Traffic Solutions"
"mistral-7b-v0.3","Traffic_Jam","2","5","12","Phantom Jams and Surprising Traffic Solutions"
"mistral-7b-v0.3","Traffic_Jam","2","6","12","Phantom Jams and Surprising Solutions: Traffic Puzzles Unraveled"
"mistral-7b-v0.3","Traffic_Jam","2","7","12","Phantom Jams and Unexpected Traffic Solutions"
"mistral-7b-v0.3","Traffic_Jam","2","8","12","Phantom Jams and Surprising Solutions: A Mathematical Traffic Puzzle"
"mistral-7b-v0.3","Traffic_Jam","2","9","12","Phantom Jams and Unexpected Traffic Solutions"
"mistral-7b-v0.3","Traffic_Jam","2","10","12","Phantom Jams and the Power of Six Drivers"
"mistral-7b-v0.3","Traffic_Jam","3","1","102","Unraveling Traffic Waves: The Science Behind Congestion"
"mistral-7b-v0.3","Traffic_Jam","3","2","102","Unraveling Traffic Waves: The Science Behind Congested Roads"
"mistral-7b-v0.3","Traffic_Jam","3","3","102","Unraveling Traffic Waves: The Science Behind Gridlock Formation"
"mistral-7b-v0.3","Traffic_Jam","3","4","102","Understanding Traffic Waves and Their Impact on Road Congestion"
"mistral-7b-v0.3","Traffic_Jam","3","5","102","Unraveling Traffic Waves: The Science Behind Gridlock"
"mistral-7b-v0.3","Traffic_Jam","3","6","102","Unraveling Traffic Waves: The Science Behind Jams"
"mistral-7b-v0.3","Traffic_Jam","3","7","102","Unraveling Traffic Waves: The Science Behind Gridlock"
"mistral-7b-v0.3","Traffic_Jam","3","8","102","Unraveling Traffic Waves: The Science Behind Jams"
"mistral-7b-v0.3","Traffic_Jam","3","9","102","Unraveling Traffic Waves: The Science Behind Jams"
"mistral-7b-v0.3","Traffic_Jam","3","10","102","Understanding Traffic Waves: The Hidden Causes of Congestion"
